date,close,open,high,low
2012-12-24,84.94,84.21,84.94,84.20
2012-12-25,84.75,84.94,84.95,84.59
2012-12-26,85.64,84.75,85.70,84.72
2012-12-27,86.10,85.62,86.15,85.45
2012-12-28,86.02,86.09,86.63,85.92
2012-12-31,86.75,85.78,86.79,85.68
2013-01-01,86.69,86.72,86.79,86.53
2013-01-02,87.34,86.67,87.34,86.51
2013-01-03,87.23,87.32,87.36,86.74
2013-01-04,88.15,87.21,88.40,87.21
2013-01-07,87.78,88.17,88.37,87.60
2013-01-08,87.05,87.75,87.82,86.88
2013-01-09,87.88,87.03,88.01,86.81
2013-01-10,88.78,87.86,88.78,87.84
2013-01-11,89.18,88.78,89.44,88.66
2013-01-14,89.47,89.24,89.67,89.05
2013-01-15,88.79,89.46,89.63,88.27
2013-01-16,88.39,88.80,88.87,87.77
2013-01-17,89.88,88.36,90.10,88.11
2013-01-18,90.08,89.85,90.18,89.61
2013-01-21,89.61,89.96,90.25,89.32
2013-01-22,88.71,89.58,90.06,88.35
2013-01-23,88.61,88.69,88.79,88.03
2013-01-24,90.33,88.60,90.54,88.40
2013-01-25,90.92,90.30,91.19,90.26
2013-01-28,90.85,90.90,91.25,90.53
2013-01-29,90.73,90.83,91.01,90.30
2013-01-30,91.08,90.73,91.40,90.64
2013-01-31,91.72,91.07,91.77,90.71
2013-02-01,92.72,91.69,92.96,91.59
2013-02-04,92.38,92.82,93.18,92.18
2013-02-05,93.63,92.36,93.65,91.96
2013-02-06,93.64,93.61,94.06,93.26
2013-02-07,93.63,93.62,93.91,93.06
2013-02-08,92.69,93.61,93.74,92.15
2013-02-11,94.33,92.83,94.42,92.34
2013-02-12,93.47,94.30,94.40,92.96
2013-02-13,93.39,93.46,93.78,92.80
2013-02-14,92.88,93.36,93.71,92.65
2013-02-15,93.52,92.86,93.84,92.21
2013-02-18,93.95,93.65,94.20,93.60
2013-02-19,93.58,93.95,93.96,93.27
2013-02-20,93.56,93.57,94.02,93.11
2013-02-21,93.11,93.53,93.86,92.76
2013-02-22,93.41,93.08,93.50,92.90
2013-02-25,91.81,93.96,94.76,90.92
2013-02-26,91.98,91.80,92.74,91.13
2013-02-27,92.23,91.95,92.43,91.12
2013-02-28,92.56,92.20,92.85,91.98
2013-03-01,93.59,92.54,93.68,92.41
2013-03-04,93.48,93.56,93.72,93.15
2013-03-05,93.29,93.46,93.54,92.89
2013-03-06,94.08,93.28,94.11,92.98
2013-03-07,94.83,94.04,95.06,93.77
2013-03-08,96.03,94.79,96.54,94.76
2013-03-11,96.28,95.95,96.36,95.90
2013-03-12,96.08,96.26,96.71,95.62
2013-03-13,96.11,96.08,96.25,95.43
2013-03-14,96.11,96.11,96.59,95.66
2013-03-15,95.28,96.08,96.27,95.06
2013-03-18,95.22,94.10,95.60,94.03
